Woonplaats code,Plaats,Plaatsnaam lengte,Postcode,Gemeente,Provincie
2243,"Eesterga /Jistergea",20,8534–8534,De Fryske Marren,Fryslân
2242,"Echtenerbrug /Ychtenbrêge",26,8539–8539,De Fryske Marren,Fryslân
2241,"Echten /Ychten",15,8537–8537,De Fryske Marren,Fryslân
2240,Delfstrahuizen,14,8508–8508,De Fryske Marren,Fryslân
2239,"Bantega /Bantegea",18,8538–8538,De Fryske Marren,Fryslân
2238,Eemdijk,7,3754–3754,Bunschoten,Utrecht
2237,Bunschoten-Spakenburg,21,3751–3752,Bunschoten,Utrecht
2236,Wedde,5,9698–9698,Westerwolde,Groningen
2235,Vriescheloo,11,9699–9699,Westerwolde,Groningen
2234,Veelerveen,10,9566–9566,Westerwolde,Groningen
2233,Oudeschans,10,9696–9696,Westerwolde,Groningen
2232,Blijham,7,9697–9697,Westerwolde,Groningen
2231,Bellingwolde,12,9695–9695,Westerwolde,Groningen
2230,Mariënvelde,11,7263–7263,Oost Gelre,Gelderland
2229,Zieuwent,8,7136–7136,Oost Gelre,Gelderland
2228,Harreveld,9,7135–7135,Oost Gelre,Gelderland
2227,Lichtenvoorde,13,7131–7132,Oost Gelre,Gelderland
2226,Vragender,9,7134–7134,Oost Gelre,Gelderland
2225,Lievelde,8,7137–7137,Oost Gelre,Gelderland
2224,Groenlo,7,7141–7141,Oost Gelre,Gelderland
2222,Nigtevecht,10,1393–1393,Stichtse Vecht,Utrecht
2221,Nieuwersluis,12,3631–3631,Stichtse Vecht,Utrecht
2220,Loenersloot,11,3634–3634,Stichtse Vecht,Utrecht
2219,Loenen aan de Vecht,19,3632–3632,Stichtse Vecht,Utrecht
2218,Werkendam,9,4251–4251,Altena,Noord-Brabant
2217,Sleeuwijk,9,4254–4254,Altena,Noord-Brabant
2216,Nieuwendijk,11,4255–4255,Altena,Noord-Brabant
2215,Hank,4,4273–4273,Altena,Noord-Brabant
2214,Dussen,6,4271–4271,Altena,Noord-Brabant
2213,Zeddam,6,7038–7038,Montferland,Gelderland
2212,Wijnbergen,10,7048–7048,Montferland,Gelderland
2211,Vethuizen,9,7046–7046,Montferland,Gelderland
2210,Stokkum,7,7039–7039,Montferland,Gelderland
2209,Loerbeek,8,7036–7036,Montferland,Gelderland
2208,Lengel,6,7044–7044,Montferland,Gelderland
2207,Kilder,6,7035–7035,Montferland,Gelderland
2206,'s-Heerenberg,13,7041–7041,Montferland,Gelderland
2205,Didam,5,6941–6942,Montferland,Gelderland
2204,Braamt,6,7047–7047,Montferland,Gelderland
2203,Beek,4,7037–7037,Montferland,Gelderland
2202,Azewijn,7,7045–7045,Montferland,Gelderland
2201,Zwartsluis,10,8064–8064,Zwartewaterland,Overijssel
2200,Mastenbroek,11,8291–8294,Zwartewaterland,Overijssel
2199,Hasselt,7,8061–8061,Zwartewaterland,Overijssel
2198,Genemuiden,10,8281–8281,Zwartewaterland,Overijssel
2197,"Hoornsterzwaag /Hoarnstersweach",32,8412–8412,Heerenveen,Fryslân
2196,"Jubbega /Jobbegea",18,8411–8411,Heerenveen,Fryslân
2195,"Oudehorne /Aldhoarne",21,8413–8413,Heerenveen,Fryslân
2194,"Nieuwehorne /Nijhoarne",23,8414–8414,Heerenveen,Fryslân
2193,Bontebok,8,8415–8415,Heerenveen,Fryslân
2192,"Katlijk /Ketlik",16,8455–8455,Heerenveen,Fryslân
2191,"Mildam /Mildaam",16,8454–8454,Heerenveen,Fryslân
2190,De Knipe,8,8456–8456,Heerenveen,Fryslân
2189,"Oranjewoud /(It) Oranjewâld",28,8453–8453,Heerenveen,Fryslân
2188,"Oudeschoot /Aldskoat",21,8451–8451,Heerenveen,Fryslân
2187,"Nieuweschoot /Nijskoat",23,8452–8452,Heerenveen,Fryslân
2185,"Gersloot /Gersleat",19,8457–8457,Heerenveen,Fryslân
2184,"Tjalleberd /Tsjalbert",22,8458–8458,Heerenveen,Fryslân
2183,"Luinjeberd /Lúnbert",20,8459–8459,Heerenveen,Fryslân
2182,"Terband /Terbant",17,8449–8449,Heerenveen,Fryslân
2181,Sebaldeburen,12,9862–9862,Westerkwartier,Groningen
2180,Opende,6,9865–9865,Westerkwartier,Groningen
2179,Oldekerk,8,9821–9821,Westerkwartier,Groningen
2178,Niekerk,7,9822–9822,Westerkwartier,Groningen
2177,Lutjegast,9,9866–9866,Westerkwartier,Groningen
2176,Kornhorn,8,9864–9864,Westerkwartier,Groningen
2175,Grootegast,10,9861–9861,Westerkwartier,Groningen
2174,Doezum,6,9863–9863,Westerkwartier,Groningen
2173,Zuidoostbeemster,16,1461–1461,Beemster,Noord-Holland
2172,Westbeemster,12,1464–1464,Beemster,Noord-Holland
2171,Noordbeemster,13,1463–1463,Beemster,Noord-Holland
2170,Middenbeemster,14,1462–1462,Beemster,Noord-Holland
2169,Zwinderen,9,7864–7864,Coevorden,Drenthe
2168,Zweeloo,7,7851–7851,Coevorden,Drenthe
2167,Wezuperbrug,11,7853–7853,Coevorden,Drenthe
2166,Wezup,5,7852–7852,Coevorden,Drenthe
2165,Wachtum,7,7754–7754,Coevorden,Drenthe
2164,'t Haantje,10,7847–7847,Coevorden,Drenthe
2163,Stieltjeskanaal,15,7756–7756,Coevorden,Drenthe
2162,Sleen,5,7841–7841,Coevorden,Drenthe
2161,Schoonoord,10,7848–7848,Coevorden,Drenthe
2160,Oosterhesselen,14,7861–7861,Coevorden,Drenthe
2159,Noord-Sleen,11,7846–7846,Coevorden,Drenthe
2158,“Nieuwlande Coevorden”,22,7929–7929,Coevorden,Drenthe
2157,Meppen,6,7855–7855,Coevorden,Drenthe
2156,Holsloot,8,7845–7845,Coevorden,Drenthe
2155,Geesbrug,8,7917–7917,Coevorden,Drenthe
2154,Gees,4,7863–7863,Coevorden,Drenthe
2153,Erm,3,7843–7843,Coevorden,Drenthe
2152,Diphoorn,8,7842–7842,Coevorden,Drenthe
2151,De Kiel,7,7849–7849,Coevorden,Drenthe
2150,Dalerveen,9,7755–7755,Coevorden,Drenthe
2149,Dalerpeel,9,7753–7753,Coevorden,Drenthe
2148,Dalen,5,7751–7751,Coevorden,Drenthe
2147,Coevorden,9,7741–7742,Coevorden,Drenthe
2146,Benneveld,9,7856–7856,Coevorden,Drenthe
2145,Aalden,6,7854–7854,Coevorden,Drenthe
2144,Diemen,6,1111–1113,Diemen,Noord-Holland
2143,Urk,3,8321–8322,Urk,Flevoland
2142,Doesburg,8,6981–6984,Doesburg,Gelderland
2141,Renswoude,9,3927–3927,Renswoude,Utrecht
2140,Meijel,6,5768–5768,Peel en Maas,Limburg
2139,Schijndel,9,5481–5483,Meierijstad,Noord-Brabant
2138,Delft,5,2601–2629,Delft,Zuid-Holland
2137,Hellevoetsluis,14,3221–3225,Hellevoetsluis,Zuid-Holland
2136,Nuenen,6,5671–5674,"Nuenen, Gerwen en Nederwetten",Noord-Brabant
2135,Scherpenzeel,12,3925–3925,Scherpenzeel,Gelderland
2134,Oude-Tonge,10,3255–3255,Goeree-Overflakkee,Zuid-Holland
2133,Ooltgensplaat,13,3257–3257,Goeree-Overflakkee,Zuid-Holland
2132,Den Bommel,10,3258–3258,Goeree-Overflakkee,Zuid-Holland
2131,Achthuizen,10,3256–3256,Goeree-Overflakkee,Zuid-Holland
2129,Ouderkerk aan de Amstel,23,1191–1191,Ouder-Amstel,Noord-Holland
2128,Zuidhorn,8,9801–9801,Westerkwartier,Groningen
2127,Visvliet,8,9845–9845,Westerkwartier,Groningen
2126,Saaksum,7,9886–9886,Westerkwartier,Groningen
2125,Pieterzijl,10,9844–9844,Westerkwartier,Groningen
2124,Oldehove,8,9883–9883,Westerkwartier,Groningen
2123,Noordhorn,9,9804–9804,Westerkwartier,Groningen
2122,Niezijl,7,9841–9842,Westerkwartier,Groningen
2121,Niehove,7,9884–9884,Westerkwartier,Groningen
2120,Lauwerzijl,10,9885–9885,Westerkwartier,Groningen
2119,Kommerzijl,10,9881–9882,Westerkwartier,Groningen
2118,Grijpskerk,10,9843–9843,Westerkwartier,Groningen
2117,Den Horn,8,9832–9832,Westerkwartier,Groningen
2116,Den Ham,7,9833–9833,Westerkwartier,Groningen
2115,Briltil,7,9805–9805,Westerkwartier,Groningen
2114,Aduard,6,9831–9831,Westerkwartier,Groningen
2113,Oostzaan,8,1511–1511,Oostzaan,Noord-Holland
2112,Leiderdorp,10,2351–2353,Leiderdorp,Zuid-Holland
2111,Nieuwland,9,4243–4243,Vijfheerenlanden,Utrecht
2110,Leerbroek,9,4245–4245,Vijfheerenlanden,Utrecht
2109,Hei- en Boeicop,15,4126–4126,Vijfheerenlanden,Utrecht
2108,Meerkerk,8,4231–4231,Vijfheerenlanden,Utrecht
2107,Tienhoven aan de Lek,20,4235–4235,Vijfheerenlanden,Utrecht
2106,Ameide,6,4233–4235,Vijfheerenlanden,Utrecht
2105,Lexmond,7,4128–4128,Vijfheerenlanden,Utrecht
2104,Sweikhuizen,11,6174–6174,Beekdaelen,Limburg
2103,Schinnen,8,6365–6365,Beekdaelen,Limburg
2102,Puth,4,6155–6155,Beekdaelen,Limburg
2101,Oirsbeek,8,6438–6438,Beekdaelen,Limburg
2100,Doenrade,8,6439–6439,Beekdaelen,Limburg
2099,Amstenrade,10,6436–6436,Beekdaelen,Limburg
2098,“Loo Gld”,9,6924–6924,Duiven,Gelderland
2097,Groessen,8,6923–6923,Duiven,Gelderland
2096,Duiven,6,6921–6922,Duiven,Gelderland
2095,Elsendorp,9,5424–5424,Gemert-Bakel,Noord-Brabant
2094,De Rips,7,5764–5764,Gemert-Bakel,Noord-Brabant
2093,De Mortel,9,5425–5425,Gemert-Bakel,Noord-Brabant
2092,Handel,6,5423–5423,Gemert-Bakel,Noord-Brabant
2091,Milheeze,8,5763–5763,Gemert-Bakel,Noord-Brabant
2090,Bakel,5,5761–5761,Gemert-Bakel,Noord-Brabant
2089,Gemert,6,5421–5422,Gemert-Bakel,Noord-Brabant
2088,Leiden,6,2301–2334,Leiden,Zuid-Holland
2087,Rijkevoort-De Walsert,21,5449–5449,Sint Anthonis,Noord-Brabant
2086,Westerbeek,10,5843–5843,Sint Anthonis,Noord-Brabant
2085,Wanroij,7,5446–5446,Sint Anthonis,Noord-Brabant
2084,Stevensbeek,11,5844–5844,Sint Anthonis,Noord-Brabant
2083,Sint Anthonis,13,5845–5845,Sint Anthonis,Noord-Brabant
2082,Oploo,5,5841–5841,Sint Anthonis,Noord-Brabant
2081,Ledeacker,9,5846–5846,Sint Anthonis,Noord-Brabant
2080,Landhorst,9,5445–5445,Sint Anthonis,Noord-Brabant
2079,"Bolsward /Boalsert",19,8701–8702,Súdwest-Fryslân,Fryslân
2078,Sint-Philipsland,16,4675–4675,Tholen,Zeeland
2077,Oud-Vossemeer,13,4698–4698,Tholen,Zeeland
2076,Sint-Annaland,13,4697–4698,Tholen,Zeeland
2075,Stavenisse,10,4696–4696,Tholen,Zeeland
2074,Sint-Maartensdijk,17,4695–4695,Tholen,Zeeland
2073,Scherpenisse,12,4694–4694,Tholen,Zeeland
2072,Poortvliet,10,4693–4693,Tholen,Zeeland
2071,Tholen,6,4691–4691,Tholen,Zeeland
2070,Rijen,5,5121–5122,Gilze en Rijen,Noord-Brabant
2069,Molenschot,10,5124–5124,Gilze en Rijen,Noord-Brabant
2068,Hulten,6,5125–5125,Gilze en Rijen,Noord-Brabant
2067,Gilze,5,5126–5126,Gilze en Rijen,Noord-Brabant
2066,“Oud Zuilen”,12,3611–3611,Stichtse Vecht,Utrecht
2065,Tienhoven,9,3612–3612,Stichtse Vecht,Utrecht
2064,Maarssen,8,3601–3611,Stichtse Vecht,Utrecht
2062,Uithoorn,8,1421–1423,Uithoorn,Noord-Holland
2061,Noordwijk,9,2201–2204,Noordwijk,Zuid-Holland
2060,Sint-Michielsgestel,19,5271–5271,Sint-Michielsgestel,Noord-Brabant
2059,Gemonde,7,5291–5294,Sint-Michielsgestel,Noord-Brabant
2058,Den Dungen,10,5275–5275,Sint-Michielsgestel,Noord-Brabant
2057,Berlicum,8,5258–5258,Sint-Michielsgestel,Noord-Brabant
2056,Schalkwijk,10,3998–3998,Houten,Utrecht
2055,Tull en 't Waal,15,3999–3999,Houten,Utrecht
2054,'t Goy,6,3997–3997,Houten,Utrecht
2053,Houten,6,3991–3995,Houten,Utrecht
2052,Culemborg,9,4101–4107,Culemborg,Gelderland
2048,Veenendaal,10,3901–3907,Veenendaal,Utrecht
2047,Nieuwstadt,10,6118–6118,Echt-Susteren,Limburg
2046,Roosteren,9,6116–6116,Echt-Susteren,Limburg
2045,Susteren,8,6114–6114,Echt-Susteren,Limburg
2044,Sint Joost,10,6111–6112,Echt-Susteren,Limburg
2043,Maria Hoop,10,6105–6105,Echt-Susteren,Limburg
2042,Koningsbosch,12,6104–6104,Echt-Susteren,Limburg
2041,Echt,4,6101–6101,Echt-Susteren,Limburg
2040,Leveroy,7,6091–6092,Nederweert,Limburg
2039,Nederweert-Eind,15,6034–6034,Nederweert,Limburg
2038,Ospel,5,6035–6035,Nederweert,Limburg
2037,Nederweert,10,6031–6031,Nederweert,Limburg
2036,Wommels,7,8731–8731,Súdwest-Fryslân,Fryslân
2035,"Wjelsryp /Welsrijp",19,8842–8842,Waadhoeke,Fryslân
2034,"Wiuwert /Wieuwerd",18,8637–8637,Súdwest-Fryslân,Fryslân
2033,Winsum,6,8831–8831,Waadhoeke,Fryslân
2032,Weidum,6,9024–9024,Leeuwarden,Fryslân
2031,"Waaksens /Waaxens",18,8845–8845,Súdwest-Fryslân,Fryslân
2030,Spannum,7,8843–8843,Waadhoeke,Fryslân
2029,Rien,4,8641–8641,Súdwest-Fryslân,Fryslân
2028,"Reahûs /Roodhuis",17,8736–8736,Súdwest-Fryslân,Fryslân
2027,Mantgum,7,9022–9022,Leeuwarden,Fryslân
2026,"Lytsewierrum /Lutkewierum",26,8642–8642,Súdwest-Fryslân,Fryslân
2025,"Leons /Lions",13,8833–8833,Leeuwarden,Fryslân
2024,Kûbaard,7,8732–8732,Súdwest-Fryslân,Fryslân
2023,"Jorwert /Jorwerd",17,9023–9023,Leeuwarden,Fryslân
2022,Jellum,6,9026–9026,Leeuwarden,Fryslân
2021,Itens,5,8735–8735,Súdwest-Fryslân,Fryslân
2020,"Iens /Edens",12,8733–8733,Súdwest-Fryslân,Fryslân
2019,"Húns /Huins",12,8832–8832,Leeuwarden,Fryslân
2018,"Hinnaard /Hennaard",19,8844–8844,Súdwest-Fryslân,Fryslân
2017,"Hilaard /Hijlaard",18,9027–9027,Leeuwarden,Fryslân
2016,Hidaard,7,8737–8737,Súdwest-Fryslân,Fryslân
2015,"Easterwierrum /Oosterwierum",28,9021–9021,Súdwest-Fryslân,Fryslân
2014,"Easterlittens /Oosterlittens",29,8835–8835,Leeuwarden,Fryslân
2013,"Easterein /Oosterend",21,8734–8734,Súdwest-Fryslân,Fryslân
2012,"Britswert /Britswerd",21,8636–8636,Súdwest-Fryslân,Fryslân
2011,"Boazum /Bozum",14,8635–8635,Súdwest-Fryslân,Fryslân
2010,"Bears /Beers",13,9025–9025,Leeuwarden,Fryslân
2009,"Baard /Baerd",13,8834–8834,Leeuwarden,Fryslân
2006,Wageningen,10,6701–6709,Wageningen,Gelderland
2004,Voorhout,8,2215–2215,Teylingen,Zuid-Holland
2003,Sassenheim,10,2171–2172,Teylingen,Zuid-Holland
2002,Zwartemeer,10,7894–7894,Emmen,Drenthe
2001,Zandpol,7,7764–7764,Emmen,Drenthe
2000,Weiteveen,9,7765–7765,Emmen,Drenthe
1999,Veenoord,8,7844–7844,Emmen,Drenthe
1998,Schoonebeek,11,7761–7761,Emmen,Drenthe
1997,Roswinkel,9,7895–7895,Emmen,Drenthe
1996,Nieuw-Weerdinge,15,7831–7831,Emmen,Drenthe
1995,Nieuw-Schoonebeek,17,7766–7766,Emmen,Drenthe
1994,Nieuw-Dordrecht,15,7885–7885,Emmen,Drenthe
1993,Nieuw-Amsterdam,15,7833–7833,Emmen,Drenthe
1992,Klazienaveen-Noord,18,7884–7884,Emmen,Drenthe
1991,Klazienaveen,12,7891–7891,Emmen,Drenthe
1990,Erica,5,7887–7887,Emmen,Drenthe
1989,Emmer-Compascuum,16,7881–7881,Emmen,Drenthe
1988,Emmen,5,7801–7828,Emmen,Drenthe
1987,Barger-Compascuum,17,7884–7884,Emmen,Drenthe
1986,Wijngaarden,11,3366–3366,Molenlanden,Zuid-Holland
1985,Oud-Alblas,10,2969–2969,Molenlanden,Zuid-Holland
1983,Molenaarsgraaf,14,2973–2973,Molenlanden,Zuid-Holland
1981,Brandwijk,9,2974–2974,Molenlanden,Zuid-Holland
1980,“Bleskensgraaf ca”,18,2971–2971,Molenlanden,Zuid-Holland
1979,Wilbertoord,11,5455–5455,Mill en Sint Hubert,Noord-Brabant
1978,Langenboom,10,5453–5453,Mill en Sint Hubert,Noord-Brabant
1977,Sint Hubert,11,5454–5454,Mill en Sint Hubert,Noord-Brabant
1976,Mill,4,5451–5451,Mill en Sint Hubert,Noord-Brabant
1975,Stramproy,9,6039–6039,Weert,Limburg
1974,Weert,5,6001–6006,Weert,Limburg
1973,It Heidenskip,13,8724–8724,Súdwest-Fryslân,Fryslân
1972,"Nijhuizum /Nijhuzum",20,8775–8775,Súdwest-Fryslân,Fryslân
1971,Warns,5,8721–8721,Súdwest-Fryslân,Fryslân
1970,"Hemelum /Himmelum",18,8584–8584,Súdwest-Fryslân,Fryslân
1969,"Stavoren /Starum",17,8715–8715,Súdwest-Fryslân,Fryslân
1968,"Hindeloopen /Hylpen",20,8713–8713,Súdwest-Fryslân,Fryslân
1967,"Molkwerum /Molkwar",19,8722–8722,Súdwest-Fryslân,Fryslân
1966,"Koudum /Koaldum",16,8723–8723,Súdwest-Fryslân,Fryslân
1965,"Workum /Warkum",15,8711–8711,Súdwest-Fryslân,Fryslân
1964,Montfoort,9,3417–3417,Montfoort,Utrecht
1963,Linschoten,10,3461–3461,Montfoort,Utrecht
1962,Polsbroek,9,3415–3415,Lopik,Utrecht
1961,Lopikerkapel,12,3412–3412,Lopik,Utrecht
1960,Lopik,5,3411–3411,Lopik,Utrecht
1959,Jaarsveld,9,3413–3413,Lopik,Utrecht
1958,Benschop,8,3405–3405,Lopik,Utrecht
1957,Wijk en Aalburg,15,4261–4261,Altena,Noord-Brabant
1956,Veen,4,4264–4264,Altena,Noord-Brabant
1955,Meeuwen,7,4268–4268,Altena,Noord-Brabant
1954,Genderen,8,4265–4265,Altena,Noord-Brabant
1953,Eethen,6,4266–4266,Altena,Noord-Brabant
1952,Drongelen,9,4267–4267,Altena,Noord-Brabant
1951,Babyloniënbroek,15,4269–4269,Altena,Noord-Brabant
1950,Beesel,6,5954–5954,Beesel,Limburg
1949,Reuver,6,5953–5953,Beesel,Limburg
1948,Zuiderwoude,11,1153–1153,Waterland,Noord-Holland
1947,Uitdam,6,1154–1154,Waterland,Noord-Holland
1946,Purmer,6,1482–1482,Waterland,Noord-Holland
1945,Watergang,9,1454–1454,Waterland,Noord-Holland
1944,Monnickendam,12,1141–1141,Waterland,Noord-Holland
1943,Marken,6,1156–1156,Waterland,Noord-Holland
1942,Katwoude,8,1145–1145,Waterland,Noord-Holland
1941,Ilpendam,8,1452–1452,Waterland,Noord-Holland
1940,Broek in Waterland,18,1151–1151,Waterland,Noord-Holland
1939,Lepelstraat,11,4664–4664,Bergen op Zoom,Noord-Brabant
1938,Halsteren,9,4661–4661,Bergen op Zoom,Noord-Brabant
1937,Bergen op Zoom,14,4601–4625,Bergen op Zoom,Noord-Brabant
1936,Westervoort,11,6931–6932,Westervoort,Gelderland
1935,Schiedam,8,3101–3125,Schiedam,Zuid-Holland
1931,Wilnis,6,3648–3648,De Ronde Venen,Utrecht
1928,De Zilk,7,2191–2191,Noordwijk,Zuid-Holland
1927,Noordwijkerhout,15,2211–2211,Noordwijk,Zuid-Holland
1926,Bornerbroek,11,7627–7627,Almelo,Overijssel
1925,Aadorp,6,7611–7611,Almelo,Overijssel
1924,Almelo,6,7601–7610,Almelo,Overijssel
1923,Ohé en Laak,11,6109–6109,Maasgouw,Limburg
1922,Stevensweert,12,6107–6107,Maasgouw,Limburg
1921,Linne,5,6067–6067,Maasgouw,Limburg
1920,Maasbracht,10,6051–6051,Maasgouw,Limburg
1919,Wessem,6,6019–6019,Maasgouw,Limburg
1918,Beegden,7,6099–6099,Maasgouw,Limburg
1917,Heel,4,6097–6097,Maasgouw,Limburg
1916,Thorn,5,6017–6017,Maasgouw,Limburg
1915,Urmond,6,6129–6129,Stein,Limburg
1914,Elsloo,6,6181–6181,Stein,Limburg
1913,Stein,5,6171–6171,Stein,Limburg
1912,Snelrewaard,11,3425–3425,Oudewater,Utrecht
1911,Papekop,7,3464–3464,Oudewater,Utrecht
1910,Oudewater,9,3421–3421,Oudewater,Utrecht
1909,Hekendorp,9,3467–3467,Oudewater,Utrecht
1908,West-Graftdijk,14,1486–1486,Alkmaar,Noord-Holland
1905,Noordeinde,10,1485–1485,Alkmaar,Noord-Holland
1903,Graft,5,1484–1484,Alkmaar,Noord-Holland
1900,Westerlee,9,9678–9678,Oldambt,Groningen
1899,Heiligerlee,11,9677–9677,Oldambt,Groningen
1898,Oostwold,8,9682–9682,Oldambt,Groningen
1897,Midwolda,8,9681–9681,Oldambt,Groningen
1896,Nieuwolda,9,9944–9944,Oldambt,Groningen
1895,'t Waar,7,9942–9942,Oldambt,Groningen
1894,Nieuw Scheemda,14,9943–9943,Oldambt,Groningen
1893,Scheemda,8,9679–9679,Oldambt,Groningen
1892,Zuidschermer,12,1846–1847,Alkmaar,Noord-Holland
1891,“Ursem gem. S”,14,1646–1646,Alkmaar,Noord-Holland
1890,Stompetoren,11,1841–1841,Alkmaar,Noord-Holland
1889,Schermerhorn,12,1636–1636,Alkmaar,Noord-Holland
1888,Oterleek,8,1842–1842,Alkmaar,Noord-Holland
1887,Grootschermer,13,1843–1843,Alkmaar,Noord-Holland
1886,Driehuizen,10,1844–1844,Alkmaar,Noord-Holland
1885,Zaandijk,8,1544–1544,Zaanstad,Noord-Holland
1884,Zaandam,7,1501–1509,Zaanstad,Noord-Holland
1883,Wormerveer,10,1521–1522,Zaanstad,Noord-Holland
1882,Westzaan,8,1551–1551,Zaanstad,Noord-Holland
1881,Westknollendam,14,1525–1525,Zaanstad,Noord-Holland
1880,Krommenie,9,1561–1562,Zaanstad,Noord-Holland
1879,Koog aan de Zaan,16,1541–1541,Zaanstad,Noord-Holland
1878,Assendelft,10,1566–1566,Zaanstad,Noord-Holland
1877,Reusel,6,5541–5541,Reusel-De Mierden,Noord-Brabant
1876,Lage Mierde,11,5094–5094,Reusel-De Mierden,Noord-Brabant
1875,Hulsel,6,5096–5096,Reusel-De Mierden,Noord-Brabant
1874,Hooge Mierde,12,5095–5095,Reusel-De Mierden,Noord-Brabant
1873,Zetten,6,6671–6671,Overbetuwe,Gelderland
1872,Valburg,7,6675–6675,Overbetuwe,Gelderland
1871,Slijk-Ewijk,11,6677–6677,Overbetuwe,Gelderland
1870,Randwijk,8,6668–6668,Overbetuwe,Gelderland
1869,Oosterhout,10,6678–6678,Overbetuwe,Gelderland
1868,Homoet,6,6676–6676,Overbetuwe,Gelderland
1867,Heteren,7,6666–6666,Overbetuwe,Gelderland
1866,Herveld,7,6674–6674,Overbetuwe,Gelderland
1865,Hemmen,6,6672–6672,Overbetuwe,Gelderland
1864,Elst,4,6661–6662,Overbetuwe,Gelderland
1863,Driel,5,6665–6665,Overbetuwe,Gelderland
1862,Andelst,7,6673–6673,Overbetuwe,Gelderland
1861,Wanssum,7,5861–5861,Venray,Limburg
1860,Tienray,7,5865–5865,Horst aan de Maas,Limburg
1859,Swolgen,7,5866–5866,Horst aan de Maas,Limburg
1858,Meerlo,6,5864–5864,Horst aan de Maas,Limburg
1857,Geijsteren,10,5862–5862,Venray,Limburg
1856,Blitterswijck,13,5863–5863,Venray,Limburg
1855,Voerendaal,10,6367–6367,Voerendaal,Limburg
1854,Ransdaal,8,6311–6312,Voerendaal,Limburg
1853,Klimmen,7,6343–6343,Voerendaal,Limburg
1852,Reek,4,5375–5375,Landerd,Noord-Brabant
1851,Schaijk,7,5374–5374,Landerd,Noord-Brabant
1850,Zeeland,7,5411–5411,Landerd,Noord-Brabant
1849,Odiliapeel,10,5409–5409,Uden,Noord-Brabant
1848,Volkel,6,5408–5408,Uden,Noord-Brabant
1847,Uden,4,5401–5406,Uden,Noord-Brabant
1846,Doornspijk,10,8085–8085,Elburg,Gelderland
1845,'t Harde,8,8084–8084,Elburg,Gelderland
1844,Elburg,6,8081–8081,Elburg,Gelderland
1843,Warder,6,1473–1473,Edam-Volendam,Noord-Holland
1842,Schardam,8,1476–1476,Edam-Volendam,Noord-Holland
1841,Oosthuizen,10,1474–1474,Edam-Volendam,Noord-Holland
1840,Middelie,8,1472–1472,Edam-Volendam,Noord-Holland
1839,Kwadijk,7,1471–1471,Edam-Volendam,Noord-Holland
1838,Hobrede,7,1477–1477,Edam-Volendam,Noord-Holland
1837,Beets,5,1475–1475,Edam-Volendam,Noord-Holland
1836,Winneweer,9,9793–9793,Groningen,Groningen
1835,Lellens,7,9794–9794,Groningen,Groningen
1834,Sint Annen,10,9796–9796,Groningen,Groningen
1833,Woltersum,9,9795–9795,Groningen,Groningen
1832,Thesinge,8,9797–9797,Groningen,Groningen
1831,Garmerwolde,11,9798–9798,Groningen,Groningen
1830,Ten Post,8,9792–9792,Groningen,Groningen
1829,Ten Boer,8,9791–9791,Groningen,Groningen
1828,Wolphaartsdijk,14,4471–4471,Goes,Zeeland
1827,Wilhelminadorp,14,4475–4475,Goes,Zeeland
1826,Kloetinge,9,4481–4481,Goes,Zeeland
1825,Kattendijke,11,4474–4474,Goes,Zeeland
1824,Goes,4,4461–4465,Goes,Zeeland
1823,'s-Heer Hendrikskinderen,24,4472–4472,Goes,Zeeland
1822,'s-Heer Arendskerke,19,4458–4458,Goes,Zeeland
1821,Wassenaar,9,2241–2245,Wassenaar,Zuid-Holland
1820,Tiendeveen,10,7936–7937,Hoogeveen,Drenthe
1819,Stuifzand,9,7934–7934,Hoogeveen,Drenthe
1818,Pesse,5,7933–7933,Hoogeveen,Drenthe
1817,Noordscheschut,14,7914–7914,Hoogeveen,Drenthe
1816,Nieuwlande,10,7918–7918,Hoogeveen,Drenthe
1815,Nieuweroord,11,7911–7912,Hoogeveen,Drenthe
1814,Hoogeveen,9,7901–7909,Hoogeveen,Drenthe
1813,Hollandscheveld,15,7913–7913,Hoogeveen,Drenthe
1812,Fluitenberg,11,7931–7931,Hoogeveen,Drenthe
1811,Elim,4,7916–7916,Hoogeveen,Drenthe
1810,“Alteveer gem Hoogeveen”,24,7915–7915,Hoogeveen,Drenthe
1809,Waal,4,2968–2968,Molenlanden,Zuid-Holland
1808,Langerak,8,2967–2967,Molenlanden,Zuid-Holland
1807,Nieuwpoort,10,2965–2965,Molenlanden,Zuid-Holland
1806,Groot-Ammers,12,2964–2964,Molenlanden,Zuid-Holland
1805,Streefkerk,10,2959–2959,Molenlanden,Zuid-Holland
1803,Zandberg,8,9564–9564,Borger-Odoorn,Drenthe
1802,Westdorp,8,9534–9534,Borger-Odoorn,Drenthe
1801,Valthermond,11,7876–7876,Borger-Odoorn,Drenthe
1800,Valthe,6,7872–7872,Borger-Odoorn,Drenthe
1799,Odoorn,6,7874–7874,Borger-Odoorn,Drenthe
1798,Odoorn,6,7873–7873,Borger-Odoorn,Drenthe
1797,Nieuw-Buinen,12,9521–9521,Borger-Odoorn,Drenthe
1796,Klijndijk,9,7871–7871,Borger-Odoorn,Drenthe
1795,Exloo,5,7875–7875,Borger-Odoorn,Drenthe
1794,Exloërveen,10,9574–9574,Borger-Odoorn,Drenthe
1793,Ellertshaar,11,9535–9535,Borger-Odoorn,Drenthe
